ID,Trials,Conditions,JumpHeight,TakeoffVel,pKAM
12,4,single,0.434341331,2.547734655,0.454949336
12,5,single,0.447413631,2.524344384,0.31192888
12,6,single,0.425946263,2.467103598,0.278368491
12,1,consecutive,0.345776167,2.386710181,0.292890577
12,2,consecutive,0.365508955,2.334818814,0.19598899
12,3,consecutive,0.387447849,2.22702821,0.246014723
12,4,consecutive,0.383763727,2.345888631,0.26386299
12,5,consecutive,0.385512415,2.568821514,0.306903855
12,6,consecutive,0.394416597,2.414186117,0.402053636
13,1,single,0.414865191,2.362544242,0.071314096
13,2,single,0.408940744,2.319000714,0.221611296
13,3,single,0.41917901,2.327432115,0.259537568
13,4,single,0.415703213,2.259831025,0.277135333
13,5,single,0.402065913,2.2813105,0.027674656
13,6,single,0.3925764,2.252583516,0.302680253
13,1,consecutive,0.344488717,2.284450624,0.067017708
13,2,consecutive,0.340695768,2.243666735,0.206280972
13,3,consecutive,0.356210263,2.37035154,0.125400592
13,4,consecutive,0.359994437,2.186554266,0.216061515
13,5,consecutive,0.356217057,2.294517367,0.206151624
13,6,consecutive,0.362177473,2.327736117,0.191736009
14,1,single,0.527815543,2.923787337,0.210472347
14,2,single,0.490528391,2.916813616,0.390640275
14,3,single,0.503529464,2.833443096,0.343938727
14,4,single,0.524454655,2.928254491,0.231156996
14,5,single,0.4995108,2.766910525,0.114694809
14,6,single,0.511932681,2.814953346,0.106592191
14,1,consecutive,0.434046245,2.829871315,0.218790129
14,2,consecutive,0.477136226,2.76773511,0.310463538
14,3,consecutive,0.458233492,2.655456385,0.218518958
14,4,consecutive,0.482451881,2.925133493,0.172602264
14,5,consecutive,0.458772329,2.766064488,0.196179082
14,6,consecutive,0.515005181,2.903379349,0.258179127
15,1,single,0.408723762,2.501864182,0.615650029
15,2,single,0.424352106,2.447708649,0.486261538
15,3,single,0.439114791,2.484516357,0.495155885
15,4,single,0.426686943,2.463964338,0.460760093
15,5,single,0.408214462,2.531415319,0.786844377
15,6,single,0.426764424,2.4547787,0.023237272
15,1,consecutive,0.373507358,2.294079744,0.571522353
15,2,consecutive,0.394132243,2.404660122,0.413138071
15,3,consecutive,0.379899278,2.504405733,0.615056709
15,4,consecutive,0.389932234,2.316824648,0.324429551
15,5,consecutive,0.383901809,2.437099865,0.304511922
15,6,consecutive,0.388512603,2.419629963,0.436789718
16,1,single,0.497626656,2.780816821,0.432554652
16,2,single,0.515914132,2.802830302,0.355931676
16,3,single,0.506246447,2.786433805,0.353783906
16,4,single,0.510150184,2.670123112,0.371261088
16,5,single,0.503434183,2.836139377,0.385157952
16,6,single,0.497330263,2.739037238,0.320848571
16,1,consecutive,0.454825576,2.908155315,0.332895835
16,2,consecutive,0.461580416,2.80328878,0.412053874
16,3,consecutive,0.45034092,2.770375343,0.245942753
16,4,consecutive,0.440755522,2.786580125,0.224563582
16,5,consecutive,0.407764325,2.722311826,0.190234617
16,6,consecutive,0.430644379,2.608600033,0.258139675
17,1,single,0.427488665,2.582031183,0.032138874
17,2,single,0.442383297,2.625906262,0.530840281
17,3,single,0.422848463,2.620300174,0.011763888
17,4,single,0.433065776,2.58347432,0.387558565
17,5,single,0.452685425,2.691394018,0.14741971
17,6,single,0.425514522,2.624361832,0.345131128
17,1,consecutive,0.407332547,2.520188165,0.409713511
17,2,consecutive,0.385054284,2.517357562,0.216919427
17,3,consecutive,0.433170599,2.599327313,0.428763816
17,4,consecutive,0.420498788,2.552255577,0.442141437
17,5,consecutive,0.408602128,2.499669635,0.35896496
17,6,consecutive,0.396584448,2.283020313,0.460899669
18,1,single,0.50880708,2.841052943,0.306204569
18,2,single,0.530187773,2.878447381,0.181418112
18,3,single,0.525086203,2.888524066,0.557986737
18,4,single,0.528324132,3.002253709,0.190591453
18,5,single,0.523649665,2.911721675,0.141028221
18,6,single,0.499472316,2.875442495,0.485261787
18,1,consecutive,0.456396974,2.852496832,0.178677575
18,2,consecutive,0.464463322,2.759800077,0.284094496
18,3,consecutive,0.460994201,2.746801509,0.279476117
18,4,consecutive,0.473944096,2.789606345,0.25630751
18,5,consecutive,0.464981595,2.733253195,0.25073566
18,6,consecutive,0.457070897,2.748319841,0.338506057
19,1,single,0.551380757,2.885520079,0.812761129
19,2,single,0.557243967,2.772582895,0.355019683
19,3,single,0.585284537,2.882077201,0.141810491
19,4,single,0.574417862,2.852853749,0.58431085
19,5,single,0.575331956,2.831647629,0.491799209
19,6,single,0.599237592,2.882018121,0.744640404
19,1,consecutive,0.47218642,2.610898383,0.334038025
19,2,consecutive,0.494399191,2.711020169,0.380361718
19,3,consecutive,0.503764323,2.682086334,0.30625774
19,4,consecutive,0.513393685,2.64438552,0.375855878
19,5,consecutive,0.49927697,2.686117258,0.381825889
19,6,consecutive,0.516354434,2.615401158,0.242754751
20,1,single,0.494214241,2.407194185,0.215402452
20,2,single,0.518066904,2.565472819,0.430525789
20,3,single,0.500696804,2.579168528,0.286929811
20,4,single,0.506472084,2.589811585,0.4608727
20,5,single,0.504494354,2.471172452,0.294897782
20,6,single,0.497219432,2.651894791,0.323605461
20,1,consecutive,0.455690904,2.667055148,0.336692698
20,2,consecutive,0.431060757,2.790624962,0.668614569
20,3,consecutive,0.454966508,2.721952206,0.345067047
20,4,consecutive,0.413176522,2.493897677,0.251694474
20,5,consecutive,0.431772888,2.568288605,0.361731341
20,6,consecutive,0.437453608,2.511348575,0.303175421
21,1,single,0.493102074,2.765611013,0.256893368
21,2,single,0.494632115,2.765670968,0.209694965
21,3,single,0.477539874,2.718188169,0.279843364
21,4,single,0.483753051,2.782352451,0.294909577
21,5,single,0.483021987,2.690052397,0.523440086
21,6,single,0.47625927,2.805432736,0.021649967
21,1,consecutive,0.426850547,2.600469258,0.299764344
21,2,consecutive,0.400748842,2.594085726,0.337709254
21,3,consecutive,0.389486219,2.606566326,0.25816692
21,4,consecutive,0.411646299,2.630597509,0.259796264
21,5,consecutive,0.397806437,2.627125521,0.304324328
21,6,consecutive,0.400738304,2.474419465,0.202842261
22,1,single,0.587735268,3.09539929,0.256690641
22,2,single,0.531385656,2.783044335,0.364374563
22,3,single,0.589610245,2.894636069,0.521492269
22,4,single,0.565372188,2.92422467,0.617331257
22,5,single,0.559213875,2.868377375,0.462180884
22,6,single,0.587226287,2.973324244,0.412444585
22,1,consecutive,0.548380266,2.803079184,0.441287473
22,2,consecutive,0.54020577,2.868896662,0.416420327
22,3,consecutive,0.556377404,2.822098272,0.57712082
22,4,consecutive,0.518282062,2.780761344,0.475728381
22,5,consecutive,0.549866951,2.692715248,0.626583856
22,6,consecutive,0.547614566,2.67112917,0.409168884
23,1,single,0.475747329,2.750831715,0.139056635
23,2,single,0.489799699,2.755553998,0.333426547
23,3,single,0.455683042,2.824646076,0.203043021
23,4,single,0.470203649,2.713790883,0.141155863
23,5,single,0.472556252,2.740774607,0.172665238
23,6,single,0.469388315,2.799179477,0.270975934
23,1,consecutive,0.435838666,2.793196652,0.229010735
23,2,consecutive,0.466268497,2.81992819,0.221459078
23,3,consecutive,0.463453255,2.774098498,0.340187733
23,4,consecutive,0.439492672,2.664233282,0.277516286
23,5,consecutive,0.463692635,2.804146212,0.387828196
23,6,consecutive,0.460545582,2.684586386,0.378932332
24,1,single,0.505923824,2.715830877,0.402307884
24,2,single,0.512978583,2.771365369,0.659073817
24,3,single,0.515677434,2.805350015,0.381863117
24,4,single,0.518141654,2.862493756,0.693653808
24,5,single,0.503907919,2.743915014,0.431639942
24,6,single,0.4966177,2.791491836,0.4153611
24,1,consecutive,0.440197637,2.667182516,0.513073502
24,2,consecutive,0.464028702,2.631653982,0.544904811
24,3,consecutive,0.450924313,2.727346639,0.487121529
24,4,consecutive,0.460879238,2.830748352,0.425931183
24,5,consecutive,0.439110289,2.668110004,0.380168753
24,6,consecutive,0.437366972,2.65748822,0.433145743
25,1,single,0.388671786,2.29557381,0.129678403
25,2,single,0.368602686,2.325739295,0.384780962
25,3,single,0.389274073,2.316656652,0.312132999
25,4,single,0.36697243,2.245286402,0.345855985
