ID,Conditions,Landing_GRF,trials
8,CMJ,1.370642543,5
8,CMJ,1.451447196,6
8,SCMJ,1.712612837,1
8,SCMJ,1.534873452,2
8,SCMJ,1.61026076,3
8,SCMJ,2.00541962,4
8,SCMJ,1.585609912,5
8,SCMJ,1.46023124,6
9,CMJ,1.340501564,1
9,CMJ,2.330220003,2
9,CMJ,1.52739484,3
9,CMJ,1.689447393,4
9,CMJ,1.487514126,5
9,CMJ,1.57329451,6
9,SCMJ,1.519474415,1
9,SCMJ,1.490773699,2
9,SCMJ,1.829895207,3
9,SCMJ,1.241092153,4
9,SCMJ,1.315389112,5
9,SCMJ,1.698604293,6
10,CMJ,1.856182826,1
10,CMJ,1.678494652,2
10,CMJ,1.457606538,3
10,CMJ,2.568053965,4
10,CMJ,1.410753751,5
10,CMJ,1.8197017,6
10,SCMJ,1.613975409,1
10,SCMJ,1.79065184,2
10,SCMJ,1.839787148,3
10,SCMJ,1.826062787,4
10,SCMJ,1.828282277,5
10,SCMJ,1.876199712,6
11,CMJ,1.218096851,1
11,CMJ,1.480404214,2
11,CMJ,1.218060859,3
11,CMJ,1.222599807,4
11,CMJ,1.134876901,5
11,CMJ,1.112000314,6
11,SCMJ,1.471460755,1
11,SCMJ,1.509753741,2
11,SCMJ,1.393774383,3
11,SCMJ,1.428310056,4
11,SCMJ,1.242512548,5
11,SCMJ,1.830224244,6
12,CMJ,2.696353143,1
12,CMJ,1.212088242,2
12,CMJ,1.247338704,3
12,CMJ,2.176762304,4
12,CMJ,1.746238851,5
12,CMJ,1.481327114,6
12,SCMJ,1.641139948,1
12,SCMJ,1.542795863,2
12,SCMJ,1.910151264,3
12,SCMJ,1.586161722,4
12,SCMJ,1.879538998,5
12,SCMJ,1.79279386,6
13,CMJ,2.531059392,1
13,CMJ,1.761292884,2
13,CMJ,1.768442414,3
13,CMJ,1.956036332,4
13,CMJ,2.069165985,5
13,CMJ,2.665312504,6
13,SCMJ,1.58644354,1
13,SCMJ,1.423203213,2
13,SCMJ,1.482779738,3
13,SCMJ,1.560655603,4
13,SCMJ,1.429969743,5
13,SCMJ,1.81752945,6
14,CMJ,1.780381924,1
14,CMJ,2.458006991,2
14,CMJ,2.27168017,3
14,CMJ,1.840688596,4
14,CMJ,1.60809767,5
14,CMJ,2.504743112,6
14,SCMJ,2.530015647,1
14,SCMJ,2.478836461,2
14,SCMJ,2.274998898,3
14,SCMJ,2.132478015,4
14,SCMJ,2.472092608,5
14,SCMJ,2.242867345,6
15,CMJ,2.80514897,1
15,CMJ,2.140515872,2
